id,title,release,artist_name,duration,artist_familiarity,artist_hotttnesss,year
1,Silent Night,Monster Ballads X-Mas,Faster Pussy cat,252.05506,0.649822100201,0.394031892714,2003
2,Tanssi vaan,Karkuteill,Karkkiautomaatti,156.55138,0.439603966677,0.356992107756,1995
3,No One Could Ever,Butter,Hudson Mohawke,138.97098,0.643680572058,0.437503836595,2006
4,Si Vos Quers,De Culo,Yerba Brava,145.05751,0.448501159656,0.372349068517,2003
5,Tangle Of Aspens,Rene Ablaze Presents Winter Sessions,Der Mystic,514.29832,0.0,0.0,
6,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",Berwald: Symphonies Nos. 1/2/3/4,David Montgomery,816.53506,0.361286979628,0.109625847059,
7,We Have Got Love,Strictly The Best Vol. 34,Sasha / Turbulence,212.37506,0.692922730576,0.453731585999,
8,2 Da Beat Ch'yall,Da Bomb,Kris Kross,221.20444,0.588156187675,0.401092425177,1993
9,Goodbye,Danny Boy,Joseph Locke,139.17995,0.408465463469,0.285901196045,
10,Mama_ mama can't you see ?,March to cadence with the US marines,The Sun Harbor's Chorus-Documentary Recordings,104.48934,0.41994127477,0.24913722954,
11,L'antarctique,Des cobras des tarentules,3 Gars Su'l Sofa,68.96281,0.555013966104,0.352948913868,2007
12,El hijo del pueblo,32 Grandes xitos  CD 2,Jorge Negrete,168.22812,0.541389764483,0.369096249987,1997
13,Cold Beer feat. Prince Metropolitan,International Hardcore Superstar,Danny Diablo,301.60934,0.622005388118,0.451578962861,
14,Pilots,The Loyal,Tiger Lou,318.45832,0.621826485807,0.406984727155,2005
15,N Gana,Afropea 3 - Telling Stories To The Sea,Waldemar Bastos,273.18812,0.543689917453,0.373679185802,
16,006,Lena 20 r,Lena Philipsson,262.26893,0.529819134567,0.410228511159,1998
17,(Looking For) The Heart Of Saturday,Cover Girl,Shawn Colvin,216.47628,0.685502832087,0.44673296759,1994
18,Ethos of Coercion,Descend Into Depravity,Dying Fetus,196.0224,0.734471413543,0.511975832943,2009
19,Rock-N-Rule,I'm Only A Man (Bonus Track Version),Emery,217.57342,0.738995906455,0.563366896149,2007
20,La bola extra,La bola extra,Los Ronaldos,355.60444,0.467144844943,0.409127079449,
21,I Made It Over,Let's Celebrate (He Is Risen),Rev. Timothy Wright,353.77587,0.377190202702,0.290242069993,
22,Debussy : 12 Etudes : VI Pour les huit doigts,Debussy : 12 Etudes_ Images Sets 1 & 2,Pierre-Laurent Aimard,93.12608,0.41373893722,0.383463207779,
23,Nervous,Let No One Live Rent Free In Your Head,Nicolette,213.4722,0.593554248297,0.297175632718,1996
24,In The Journey,In The Journey,Martin Sexton,319.81669,0.641197514984,0.44865347113,2001
25,Fuckin Ethic People (999),Craze Musick,Craze,204.19873,0.559135107732,0.404593856077,
26,Tu Vida Con La Ma,Hoy Quiero Soar,Christian Castro,258.89914,0.583716758983,0.396612571069,
27,I'm Ready,Honkin' On Bobo,Aerosmith,253.70077,0.853382869278,0.610431620431,2004
